artist_name,genre,num_songs,avg_popularity
Alan Silvestri,Soundtrack,109,35.51376146788991
Alanis Morissette,Alternative,14,55.92857142857143
Alanis Morissette,Children's Music,16,48.0
Alanis Morissette,Folk,18,54.05555555555556
Alanis Morissette,Pop,4,65.75
Alanis Morissette,Rock,9,55.888888888888886
Alannah Myles,Pop,1,71.0
Alannah Myles,Rock,1,71.0
Alaska Thunderfuck,Dance,2,49.0
Alastair Greene,Blues,1,26.0
Alban Berg,Classical,4,33.5
Alban Berg,Opera,25,16.64
Albert Ayler,Jazz,1,38.0
Albert Ayler,World,1,38.0
Albert Castiglia,Blues,3,25.333333333333332
Albert Collins,Blues,10,30.3
Albert Cummings,Blues,7,30.428571428571427
Albert Hammond,Rock,1,61.0
"Albert Hammond, Jr.",Blues,23,37.69565217391305
"Albert Hammond, Jr.",Dance,5,52.8
"Albert Hammond, Jr.",Indie,5,53.0
"Albert Hammond, Jr.",Rock,3,56.0
Albert King,Blues,31,27.70967741935484
Albert King,Soul,4,42.75
Albert Lortzing,Classical,1,36.0
Albert Lortzing,Opera,1,36.0
Alberta Cross,Alternative,1,51.0
Alberta Cross,Children's Music,1,56.0
Alberto Iglesias,Soundtrack,10,40.0
Alberto Nepomuceno,Classical,1,38.0
Alberto Stylee,Reggae,14,31.285714285714285
Alberto Tarin,Ska,1,31.0
Alberto gambino,Reggae,1,57.0
Albita,Jazz,1,36.0
Alborosie,Reggae,61,41.032786885245905
Alcatrazz,Classical,1,35.0
Aldo Nova,Rock,1,50.0
Aldo Romano,Jazz,2,50.0
Aldo Trujillo,Pop,2,65.5
Aldous Harding,Folk,4,57.25
Aldous Harding,Indie,3,57.666666666666664
Aldous Harding,Pop,1,61.0
Ale Mendoza,Reggae,16,25.125
Alec Bailey,Indie,2,58.0
Alec Bailey,Pop,1,61.0
Alec Benjamin,Dance,12,71.83333333333333
Alec Benjamin,Pop,13,71.53846153846153
Alef,Electronic,2,44.0
Aleherion,Electronic,3,28.666666666666668
Alejandra Guzman,Pop,1,66.0
Alejandra Guzman,Rock,1,66.0
Alejandro Escovedo,Country,2,45.5
Alejandro Escovedo,Folk,2,45.5
Alejandro Fernandez,Pop,2,76.5
Alejandro Gonzalez,Reggae,8,38.625
Alejandro Sanz,Pop,2,73.5
Alejandro Sanz,Rock,2,73.5
Aleks Syntek,Alternative,4,59.0
Aleks Syntek,Children's Music,1,65.0
Aleks Syntek,Dance,1,65.0
Aleks Syntek,Rock,1,66.0
Aleksi Perälä,Electronic,1,32.0
Alela Diane,Folk,3,49.0
Aleman,Hip-Hop,3,69.33333333333333
Alessandro De Marchi,Opera,3,11.333333333333334
Alessandro Scarlatti,Classical,4,31.75
Alessandro Scarlatti,Opera,49,13.816326530612244
Alessia Cara,Dance,22,58.54545454545455
Alessia Cara,Pop,8,67.25
Alessia Cara,R&B,33,57.75757575757576
Alessio Bax,Classical,1,37.0
Alesso,Dance,15,49.666666666666664
Alesso,Pop,5,62.6
Alestorm,Folk,8,44.375
Alex & Sierra,Dance,5,57.0
Alex & Sierra,Indie,9,61.0
Alex & Sierra,Pop,3,70.33333333333333
Alex Bugnon,Jazz,1,38.0
Alex Cameron,Alternative,3,43.666666666666664
Alex Chilton,Blues,1,29.0
Alex Clare,Alternative,1,56.0
Alex Clare,Children's Music,1,59.0
Alex Clare,Rock,1,60.0
Alex Cortiz,Jazz,1,51.0
Alex Ebert,Alternative,2,44.5
Alex Ebert,Children's Music,2,48.5
Alex Hepburn,Soul,2,49.0
Alex Isley,Alternative,1,44.0
Alex Isley,Children's Music,1,49.0
Alex Isley,Indie,1,49.0
Alex Isley,R&B,2,46.5
Alex Kyza,Reggae,3,18.0
Alex Lahey,Indie,1,46.0
Alex Lustig,Soul,11,45.90909090909091
Alex Newell,Indie,4,49.5
Alex Rose,Reggae,23,57.52173913043478
Alex Sensation,Reggae,7,48.285714285714285
Alex Somers,Soundtrack,5,27.0
Alex Turner,Indie,5,48.4
Alex Turner,Rock,3,50.333333333333336
Alex Wiley,Hip-Hop,3,53.0
Alex Wiley,Rap,1,61.0
Alexander Borodin,Classical,13,34.0
Alexander Courage,Soundtrack,1,32.0
Alexander King,Country,1,38.0
Alexander Lewis,Electronic,13,38.46153846153846
Alexander O'Neal,Soul,2,44.0
Alexander Scriabin,Classical,9,36.0
Alexander von Schlippenbach,Jazz,1,38.0
Alexandra Stan,Dance,1,60.0
Alexandra Stan,Pop,1,61.0
Alexandre Azaria,Soundtrack,1,46.0
Alexandre Desplat,Soundtrack,210,32.20952380952381
Alexandre Tansman,Classical,2,39.0
Alexi Murdoch,Folk,7,49.714285714285715
Alexi Murdoch,Indie,3,57.666666666666664
Alexi Murdoch,Pop,2,61.5
Alexina Louie,Classical,1,44.0
Alexio,Reggae,11,39.54545454545455
Alexis Korner,Blues,1,20.0
Alexis Korner's Blues Incorporated,Blues,1,45.0
Alexis Weissenberg,Classical,1,31.0
Alexis y Fido,Hip-Hop,7,63.142857142857146
Alexis y Fido,Reggae,92,37.72826086956522
Alexisonfire,Rock,1,52.0
Alextbh,Indie,4,53.25
Alextbh,R&B,7,51.57142857142857
